Time,Ticker,Signal,Price,Executed
2025-05-20T20:49:43.776245,AAPL,buy,0.0,False
2025-05-20T20:49:44.105635,MSFT,sell,0.0,False
2025-05-20T20:53:29.851476,AAPL,buy,0.0,False
2025-05-20T20:53:30.117658,MSFT,sell,0.0,False
2025-05-20T20:59:08.798439,AAPL,buy,206.86000061035156,False
2025-05-20T20:59:09.054689,MSFT,sell,458.1700134277344,False
2025-05-20T21:01:20.632735,AAPL,buy,206.86000061035156,False
2025-05-20T21:01:20.768114,MSFT,sell,458.1700134277344,False
2025-05-20T21:02:24.208102,AAPL,buy,206.86000061035156,False
2025-05-20T21:02:24.453300,MSFT,sell,458.1700134277344,False
